Date,"Coal Richards Bay 4800kcal NAR fob, London close, USD/t","Coal Richards Bay 5500kcal NAR fob, London close, USD/t","Coal Richards Bay 5700kcal NAR fob, London close, USD/t","Coal Richards Bay 6000kcal NAR fob current week avg, No time stamp, USD/t","Coal India 5500kcal NAR cfr, London close, USD/t",Crude Oil_Price,Brent Oil_Price,Dubai Crude_Price,Dutch TTF_Price,Natural Gas_Price
2021-03-03,44.5,60.84,75.25,85.6,74.07,61.1,64.07,62.55,15.525,2.849
2021-03-04,44.5,60.84,75.25,85.6,74.07,63.62,66.74,64.8,15.93,2.781
2021-03-05,45.75,62.25,77.27,90.96,76.74,65.92,69.36,66.89,16.365,2.739
2021-03-08,45.75,62.25,77.27,90.96,76.74,64.93,68.24,65.84,16.15,2.698
2021-03-09,45.75,62.25,77.27,90.96,76.74,63.99,67.52,65.37,16.925,2.696
2021-03-10,45.75,62.25,77.27,90.96,76.74,64.42,67.9,65.54,17.63,2.728
2021-03-11,45.75,62.25,77.27,90.96,76.74,66.0,69.63,66.65,18.125,2.703
2021-03-12,45.37,62.48,77.66,91.56,77.04,65.64,69.22,66.5,18.45,2.636
2021-03-15,45.37,62.48,77.66,91.56,77.04,65.44,68.88,66.38,17.93,2.523
2021-03-16,45.37,62.48,77.66,91.56,77.04,64.86,68.39,66.05,17.66,2.597
2021-03-17,45.37,62.48,77.66,91.56,77.04,64.63,68.0,65.77,17.97,2.555
2021-03-18,45.37,62.48,77.66,91.56,77.04,60.06,63.28,63.9,17.76,2.511
2021-03-19,50.48,67.69,83.4,96.48,80.22,61.44,64.53,64.57,17.265,2.566
2021-03-22,50.48,67.69,83.4,96.48,80.22,61.56,64.62,64.71,18.045,2.619
2021-03-23,50.48,67.69,83.4,96.48,80.22,57.78,60.79,63.72,18.39,2.554
2021-03-24,50.48,67.69,83.4,96.48,80.22,61.16,64.41,64.5,18.59,2.568
2021-03-25,50.48,67.69,83.4,96.48,80.22,58.57,61.95,64.05,18.365,2.616
2021-03-26,49.07,72.39,87.65,100.1,81.08,60.96,64.57,64.43,18.7,2.619
2021-03-29,49.07,72.39,87.65,100.1,81.08,61.53,64.98,64.42,18.445,2.653
2021-03-30,49.07,72.39,87.65,100.1,81.08,60.56,64.14,64.41,18.805,2.681
2021-03-31,49.07,72.39,87.65,100.1,81.08,59.18,63.54,64.41,18.995,2.667
2021-04-01,50.24,67.32,82.07,96.6,81.41,61.48,64.86,63.27,19.17,2.697
2021-04-05,50.24,67.32,82.07,96.6,81.41,58.68,62.15,60.71,19.17,2.582
2021-04-06,50.24,67.32,82.07,96.6,81.41,59.37,62.74,60.96,19.78,2.536
2021-04-07,50.24,67.32,82.07,96.6,81.41,59.81,63.16,61.46,19.285,2.597
2021-04-08,50.24,67.32,82.07,96.6,81.41,59.63,63.2,61.47,18.99,2.607
